player_id,player_name,position,nfl_year,season,week,game_date,home_or_away,opponent,outcome,score,games_played,games_started,receptions,receiving_yards,yards_per_reception,longest_reception,receiving_tds,rushing_attempts,rushing_yards,yards_per_carry,longest_rushing_run,rushing_tds,fumbles,fumbles_lost
quinnjohnson/79593,"Johnson, Quinn",,2012,Regular Season,7,21-Oct,Away,BUF,W,35 to 34,1,1,--,--,--,--,--,0,0,--,--,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2012,Regular Season,8,28-Oct,Home,IND,L,13 to 19,1,1,--,--,--,--,--,1,1,1,1,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2012,Regular Season,9,4-Nov,Home,CHI,L,20 to 51,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2012,Regular Season,10,11-Nov,Away,MIA,W,37 to 3,1,0,1,3,3,3,0,0,0,--,--,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2012,Regular Season,12,25-Nov,Away,JAC,L,19 to 24,1,1,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2012,Regular Season,13,2-Dec,Home,HOU,L,10 to 24,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2012,Regular Season,14,9-Dec,Away,IND,L,23 to 27,1,1,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2012,Regular Season,15,17-Dec,Home,NYJ,W,14 to 10,1,1,2,2,1,1,0,1,2,2,2,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2012,Regular Season,16,23-Dec,Away,GB,L,7 to 55,1,0,1,0,0,0,0,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2012,Regular Season,17,30-Dec,Home,JAC,W,38 to 20,1,1,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2011,Preseason,1,13-Aug,Away,CLE,L,17 to 27,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2011,Preseason,2,19-Aug,Home,ARI,W,28 to 20,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2011,Preseason,3,26-Aug,Away,IND,W,24 to 21,1,0,--,--,--,--,--,1,1,1,1,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2011,Preseason,4,1-Sep,Home,KC,W,20 to 19,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2011,Regular Season,1,11-Sep,Away,JAC,L,14 to 16,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2011,Regular Season,2,18-Sep,Home,BAL,W,26 to 13,1,1,--,--,--,--,--,1,13,13,13,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2011,Regular Season,3,25-Sep,Home,DEN,W,17 to 14,1,0,--,--,--,--,--,2,17,8.5,9,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2011,Regular Season,4,2-Oct,Away,CLE,W,31 to 13,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2011,Regular Season,7,23-Oct,Away,MIA,W,18 to 15,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2011,Regular Season,8,30-Oct,Home,DET,L,10 to 45,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2011,Regular Season,9,6-Nov,Away,OAK,W,38 to 24,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2011,Regular Season,10,13-Nov,Away,KC,W,17 to 10,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2011,Regular Season,11,17-Nov,Home,NYJ,W,17 to 13,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2011,Regular Season,12,27-Nov,Away,SD,W,16 to 13,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2011,Regular Season,13,4-Dec,Away,MIN,W,35 to 32,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2011,Regular Season,14,11-Dec,Home,CHI,W,13 to 10,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2011,Regular Season,16,24-Dec,Home,JAC,W,23 to 17,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2011,Regular Season,17,1-Jan,Away,HOU,W,23 to 22,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Preseason,1,14-Aug,Home,CLE,L,24 to 27,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Preseason,2,21-Aug,Away,SEA,W,27 to 24,1,0,--,--,--,--,--,1,12,12,12,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Preseason,3,26-Aug,Home,IND,W,59 to 24,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Preseason,4,2-Sep,Away,KC,L,13 to 17,1,0,--,--,--,--,--,1,7,7,7,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Regular Season,1,12-Sep,Away,PHI,W,27 to 20,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Regular Season,2,19-Sep,Home,BUF,W,34 to 7,1,1,--,--,--,--,--,1,11,11,11,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Regular Season,3,27-Sep,Away,CHI,L,17 to 20,1,1,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Regular Season,4,3-Oct,Home,DET,W,28 to 26,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Regular Season,5,10-Oct,Away,WAS,L,13 to 16,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Regular Season,6,17-Oct,Home,MIA,L,20 to 23,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Regular Season,7,24-Oct,Home,MIN,W,28 to 24,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Regular Season,8,31-Oct,Away,NYJ,W,9 to 0,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Regular Season,9,7-Nov,Home,DAL,W,45 to 7,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Regular Season,11,21-Nov,Away,MIN,W,31 to 3,1,1,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Regular Season,12,28-Nov,Away,ATL,L,17 to 20,1,0,--,--,--,--,--,0,0,--,--,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Regular Season,13,5-Dec,Home,SF,W,34 to 16,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Regular Season,14,12-Dec,Away,DET,L,3 to 7,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Regular Season,15,19-Dec,Away,NE,L,27 to 31,1,0,--,--,--,--,--,2,15,7.5,11,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Regular Season,16,26-Dec,Home,NYG,W,45 to 17,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Regular Season,17,2-Jan,Home,CHI,W,10 to 3,1,1,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Postseason,18,9-Jan,Away,PHI,W,21 to 16,1,1,--,--,--,--,--,1,4,4,4,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Postseason,19,15-Jan,Away,ATL,W,48 to 21,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Postseason,20,23-Jan,Away,CHI,W,21 to 14,1,1,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2010,Postseason,22,6-Feb,Home,PIT,W,31 to 25,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Preseason,1,15-Aug,Home,CLE,W,17 to 0,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Preseason,2,22-Aug,Home,BUF,W,31 to 21,1,0,--,--,--,--,--,0,0,--,--,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Preseason,3,28-Aug,Away,ARI,W,44 to 37,1,0,--,--,--,--,--,1,5,5,5,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Preseason,4,3-Sep,Away,TEN,L,13 to 27,1,0,--,--,--,--,--,1,1,1,1,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Regular Season,1,13-Sep,Home,CHI,W,21 to 15,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Regular Season,2,20-Sep,Home,CIN,L,24 to 31,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Regular Season,3,27-Sep,Away,STL,W,36 to 17,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Regular Season,4,5-Oct,Away,MIN,L,23 to 30,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Regular Season,6,18-Oct,Home,DET,W,26 to 0,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Regular Season,7,25-Oct,Away,CLE,W,31 to 3,1,0,--,--,--,--,--,1,0,0,0,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Regular Season,8,1-Nov,Home,MIN,L,26 to 38,1,0,--,--,--,--,--,1,4,4,4,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Regular Season,9,8-Nov,Away,TB,L,28 to 38,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Regular Season,10,15-Nov,Home,DAL,W,17 to 7,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Regular Season,11,22-Nov,Home,SF,W,30 to 24,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Regular Season,12,26-Nov,Away,DET,W,34 to 12,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Regular Season,13,7-Dec,Home,BAL,W,27 to 14,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Regular Season,14,13-Dec,Away,CHI,W,21 to 14,0,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Regular Season,15,20-Dec,Away,PIT,L,36 to 37,1,0,--,--,--,--,--,0,0,--,--,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Regular Season,16,27-Dec,Home,SEA,W,48 to 10,1,0,--,--,--,--,--,0,0,--,--,0,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Regular Season,17,3-Jan,Away,ARI,W,33 to 7,1,0,--,--,--,--,--,--,--,--,--,--,--,--
quinnjohnson/79593,"Johnson, Quinn",,2009,Postseason,18,10-Jan,Away,ARI,L,45 to 51,0,0,--,--,--,--,--,--,--,--,--,--,--,--
waymonjames/2550652,"James, Waymon",,2014,Preseason,1,9-Aug,Home,GB,W,20 to 16,1,0,--,--,--,--,--,--,--,--,--,--,--,--
waymonjames/2550652,"James, Waymon",,2014,Preseason,2,15-Aug,Away,NO,L,24 to 31,1,0,--,--,--,--,--,--,--,--,--,--,--,--
waymonjames/2550652,"James, Waymon",,2014,Preseason,3,23-Aug,Away,ATL,W,24 to 17,0,0,--,--,--,--,--,--,--,--,--,--,--,--
gregtaylor/2527085,"Taylor, Greg",,1982,Regular Season,1,12-Sep,Away,BAL,W,24 to 13,1,--,--,--,--,--,--,--,--,--,--,--,--,--
tonydavis/2512597,"Davis, Tony",,1981,Regular Season,1,5-Sep,Home,MIN,W,21 to 13,1,--,--,--,--,--,--,--,--,--,--,--,--,--
tonydavis/2512597,"Davis, Tony",,1981,Regular Season,2,13-Sep,Away,KC,L,10 to 19,1,--,--,--,--,--,--,--,--,--,--,--,--,--
tonydavis/2512597,"Davis, Tony",,1981,Regular Season,3,20-Sep,Away,CHI,L,17 to 28,1,--,1,2,2,2,0,--,--,--,--,--,--,--
tonydavis/2512597,"Davis, Tony",,1981,Regular Season,4,27-Sep,Home,STL,W,20 to 10,1,--,--,--,--,--,--,--,--,--,--,--,--,--
tonydavis/2512597,"Davis, Tony",,1981,Regular Season,5,4-Oct,Home,DET,W,28 to 10,1,--,--,--,--,--,--,--,--,--,--,--,--,--
tonydavis/2512597,"Davis, Tony",,1981,Regular Season,6,11-Oct,Away,GB,W,21 to 10,1,--,--,--,--,--,--,--,--,--,--,--,--,--
tonydavis/2512597,"Davis, Tony",,1981,Regular Season,7,18-Oct,Away,OAK,L,16 to 18,1,--,--,--,--,--,--,--,--,--,--,--,--,--
tonydavis/2512597,"Davis, Tony",,1981,Regular Season,8,25-Oct,Away,PHI,L,10 to 20,1,--,--,--,--,--,--,--,--,--,--,--,--,--
tonydavis/2512597,"Davis, Tony",,1981,Regular Season,9,1-Nov,Home,CHI,W,20 to 10,1,--,--,--,--,--,--,--,--,--,--,--,--,--
tonydavis/2512597,"Davis, Tony",,1981,Regular Season,10,8-Nov,Away,MIN,L,10 to 25,1,--,--,--,--,--,--,--,--,--,--,--,--,--
tonydavis/2512597,"Davis, Tony",,1981,Regular Season,11,15-Nov,Home,DEN,L,7 to 24,1,--,--,--,--,--,--,--,--,--,--,--,--,--
